"week","book","chapter","assignment","date","grade","points","total"

"10","Norris","Chapter 38","PrepU Mastery Level Quizzes by Chapter","Mar 14, 2022","Complete","1","1"

"11","Norris","Chapter 41","PrepU Mastery Level Quizzes by Chapter","Mar 29, 2022","Complete","1","2"

"11","Norris","Chapter 42","PrepU Mastery Level Quizzes by Chapter","Apr 6, 2022","Complete","1","3"

"12","Norris","Chapter 46","PrepU Mastery Level Quizzes by Chapter","Apr 6, 2022","Complete","1","4"

"10","Norris","Chapter 37","PrepU Mastery Level Quizzes by Chapter","Mar 13, 2022","Complete","1","5"

"12","Norris","Chapter 45","PrepU Mastery Level Quizzes by Chapter","Apr 6, 2022","Complete","1","6"

"11","Norris","Chapter 40","PrepU Mastery Level Quizzes by Chapter","Mar 28, 2022","Complete","1","7"

"12","Norris","Chapter 44","PrepU Mastery Level Quizzes by Chapter","Apr 3, 2022","Complete","1","8"

"13","Norris","Chapter 48","PrepU Mastery Level Quizzes by Chapter","Apr 11, 2022","Complete","1","9"

"12","Norris","Chapter 43","PrepU Mastery Level Quizzes by Chapter","Apr 3, 2022","Complete","1","10"

"13","Norris","Chapter 49","PrepU Mastery Level Quizzes by Chapter","Apr 11, 2022","Complete","1","11"

"14","Norris","Chapter 50","PrepU Mastery Level Quizzes by Chapter","Apr 11, 2022","Complete","1","12"

"10","Norris","Chapter 36","PrepU Mastery Level Quizzes by Chapter","Mar 13, 2022","Complete","1","13"

"14","Norris","Chapter 51","PrepU Mastery Level Quizzes by Chapter","Apr 12, 2022","Complete","1","14"

"13","Norris","Chapter 47","PrepU Mastery Level Quizzes by Chapter","Apr 11, 2022","Complete","1","15"

"10","Norris","Chapter 39","PrepU Mastery Level Quizzes by Chapter","Mar 14, 2022","Complete","1","16"

"14","Norris","Chapter 52","PrepU Mastery Level Quizzes by Chapter","Apr 12, 2022","Complete","1","17"

"14","Norris","Chapter 52","Pre-Lecture Quiz","Apr 12, 2022","100%","0.5","17.5"

"14","Norris","Chapter 51","Pre-Lecture Quiz","Apr 12, 2022","100%","0.5","18"

"14","Norris","Chapter 50","Pre-Lecture Quiz","Apr 11, 2022","100%","0.5","18.5"

"13","Norris","Chapter 49","Pre-Lecture Quiz","Apr 11, 2022","100%","0.5","19"

"13","Norris","Chapter 48","Pre-Lecture Quiz","Apr 11, 2022","100%","0.5","19.5"

"13","Norris","Chapter 47","Pre-Lecture Quiz","Apr 11, 2022","100%","0.5","20"

"12","Norris","Chapter 46","Pre-Lecture Quiz","Apr 7, 2022","100%","0.5","20.5"

"12","Norris","Chapter 45","Pre-Lecture Quiz","Apr 7, 2022","100%","0.5","21"

"12","Norris","Chapter 44","Pre-Lecture Quiz","Apr 7, 2022","100%","0.5","21.5"

"12","Norris","Chapter 43","Pre-Lecture Quiz","Apr 7, 2022","100%","0.5","22"

"11","Norris","Chapter 42","Pre-Lecture Quiz","Apr 7, 2022","100%","0.5","22.5"

"11","Norris","Chapter 41","Pre-Lecture Quiz","Mar 29, 2022","100%","0.5","23"

"11","Norris","Chapter 40","Pre-Lecture Quiz","Mar 29, 2022","100%","0.5","23.5"

"10","Norris","Chapter 39","Pre-Lecture Quiz","Mar 15, 2022","100%","0.5","24"

"10","Norris","Chapter 38","Pre-Lecture Quiz","Mar 14, 2022","100%","0.5","24.5"

"10","Norris","Chapter 36","Pre-Lecture Quiz","Mar 13, 2022","100%","0.5","25"


